Log-ratio,p-value,minFDR,MSU Locus,Gene,Measure,Description
6.188771963,8.84906E-05,0.006427654,LOC_Os05g46480,LOC_Os05g46480,LOC_Os05g46480,"late embryogenesis abundant protein, group 3, putative, expressed"
5.94876647,0.001034383,0.017637531,LOC_Os11g26790,LOC_Os11g26790,LOC_Os11g26790,"dehydrin, putative, expressed"
5.46751833,0.000364525,0.010874002,LOC_Os02g30910,LOC_Os02g30910,LOC_Os02g30910,"nodulin MtN3 family protein, putative, expressed"
5.427241802,0.00179398,0.023027361,LOC_Os11g26780,LOC_Os11g26780,LOC_Os11g26780,"dehydrin, putative, expressed"
5.380926132,0.00117606,0.018713372,LOC_Os06g46740,LOC_Os06g46740,LOC_Os06g46740,"early nodulin 20 precursor, putative, expressed"
5.292408943,0.000274432,0.009845236,LOC_Os03g19290,LOC_Os03g19290,LOC_Os03g19290,"mitochondrial import inner membrane translocase subunit Tim17, putative, expressed"
5.189775854,0.008802475,0.05921819,LOC_Os01g68290,LOC_Os01g68290,LOC_Os01g68290,expressed protein
5.143528879,0.001276838,0.019333395,LOC_Os11g07911,LOC_Os11g07911,LOC_Os11g07911,expressed protein
5.143416643,0.002454162,0.027341527,LOC_Os03g51350,LOC_Os03g51350,LOC_Os03g51350,expressed protein
5.135208189,0.000351311,0.010751215,LOC_Os03g07180,LOC_Os03g07180,LOC_Os03g07180,"embryonic protein DC-8, putative, expressed"
4.954279304,0.000114498,0.006914756,LOC_Os01g06310,LOC_Os01g06310,LOC_Os01g06310,"glycine-rich cell wall structural protein precursor, putative, expressed"
4.86555171,0.000156678,0.007918008,LOC_Os05g31020,LOC_Os05g31020,LOC_Os05g31020,"eukaryotic peptide chain release factor subunit 1-1, putative, expressed"
4.642434597,0.006513685,0.048715481,LOC_Os02g43330,LOC_Os02g43330,LOC_Os02g43330,"homeobox associated leucine zipper, putative, expressed"
4.522411227,4.65715E-06,0.003915718,LOC_Os03g16920,LOC_Os03g16920,LOC_Os03g16920,"DnaK family protein, putative, expressed"
4.4050318,0.000523913,0.012735152,LOC_Os09g02180,LOC_Os09g02180,LOC_Os09g02180,expressed protein
4.398411036,0.000430007,0.011654958,LOC_Os04g41640,LOC_Os04g41640,LOC_Os04g41640,"HEV2 - Hevein family protein precursor, expressed"
4.351334572,8.54551E-06,0.004079812,LOC_Os09g23300,LOC_Os09g23300,LOC_Os09g23300,"integral membrane protein, putative, expressed"
4.335423708,0.000189261,0.008389581,LOC_Os05g39250,LOC_Os05g39250,LOC_Os05g39250,"phosphatidylethanolamine-binding protein, putative, expressed"
