Log-ratio,p-value,minFDR,Ensembl Gene,Gene,Measure,Description
6.755925477,8.66205E-05,0.007903162,Zm00001d012391,Zm00001d012391,Zm00001d012391,Delta 1-pyrroline-5-carboxylate synthetase isoform 1%253B Delta 1-pyrroline-5-carboxylate synthetase isoform 2
6.728483677,3.62584E-06,0.0036206,Zm00001d020317,Zm00001d020317,Zm00001d020317,Pectin acetylesterase [Source:UniProtKB/TrEMBL%3BAcc:A0A1D6I3J0]
6.508630931,0.000861398,0.019534967,Zm00001d038891,Zm00001d038891,Zm00001d038891,Phosphoethanolamine N-methyltransferase 3
6.48794052,4.61226E-05,0.006571333,Zm00001d050055,Zm00001d050055,Zm00001d050055,Nucleic acid-binding OB-fold-like protein
6.348705769,5.75337E-07,0.002599083,Zm00001d010586,Zm00001d010586,Zm00001d010586,PEBP (phosphatidylethanolamine-binding protein) family protein
6.287560105,0.000225005,0.010663118,Zm00001d037894,Zm00001d037894,Zm00001d037894,Dehydrin DHN1
6.15116322,1.91873E-07,0.002147178,Zm00001d014083,Zm00001d014083,Zm00001d014083,Beta-amylase
5.663361549,1.12824E-05,0.004481502,Zm00001d030498,Zm00001d030498,Zm00001d030498,Protein translocase/ protein transporter
5.430664271,3.76797E-05,0.006177092,Zm00001d008983,Zm00001d008983,Zm00001d008983,P-loop containing nucleoside triphosphate hydrolases superfamily protein
5.134682059,0.000289082,0.0119035,Zm00001d038913,Zm00001d038913,Zm00001d038913,lipid transfer protein1
5.011141747,0.001084292,0.021520282,Zm00001d021177,Zm00001d021177,Zm00001d021177,Disease resistance protein RPM1
4.989935458,2.76053E-05,0.005702438,Zm00001d019704,Zm00001d019704,Zm00001d019704,Na+/H+ antiporter%252C probable CP0838
4.600443244,0.000234284,0.010890036,Zm00001d006587,Zm00001d006587,Zm00001d006587,Chlorophyll a-b binding protein CP29.1 chloroplastic
4.590630531,0.000217528,0.010586727,Zm00001d016076,Zm00001d016076,Zm00001d016076,Nuclear poly(A) polymerase 1
4.433070898,1.37788E-05,0.004671011,Zm00001d015330,Zm00001d015330,Zm00001d015330,FAD/NAD(P)-binding oxidoreductase family protein
4.41346848,0.002469712,0.03234594,Zm00001d040029,Zm00001d040029,Zm00001d040029,Bowman-Birk type wound-induced proteinase inhibitor WIP1 [Source:UniProtKB/TrEMBL%3BAcc:B4FPL1]
4.375733376,0.000165309,0.009629013,Zm00001d014718,Zm00001d014718,Zm00001d014718,Thylakoid lumenal 16.5 kDa protein chloroplastic
4.204939768,0.000185415,0.010063099,Zm00001d003757,Zm00001d003757,Zm00001d003757,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
4.148508668,4.01704E-05,0.006278019,Zm00001d042922,Zm00001d042922,Zm00001d042922,Probable mediator of RNA polymerase II transcription subunit 37c
4.130388319,0.003072381,0.0364075,Zm00001d024037,Zm00001d024037,Zm00001d024037,Beta-glucosidase2
4.083632946,7.69144E-05,0.007715775,Zm00001d012764,Zm00001d012764,Zm00001d012764,malic enzyme4
3.970993757,4.34092E-07,0.002438604,Zm00001d033231,Zm00001d033231,Zm00001d033231,Expansin-B4
3.868093491,0.000688099,0.01791975,Zm00001d033250,Zm00001d033250,Zm00001d033250,Retrovirus-related Pol polyprotein LINE-1
3.777769804,9.45553E-07,0.003401252,Zm00001d047259,Zm00001d047259,Zm00001d047259,B3 domain-containing transcription factor LEC2
3.772926807,3.4495E-05,0.006008143,Zm00001d028180,Zm00001d028180,Zm00001d028180,low phytic acid1
3.77195859,0.006006533,0.053503283,Zm00001d013133,Zm00001d013133,Zm00001d013133,Verprolin
3.771110058,9.97827E-05,0.008077398,Zm00001d023700,Zm00001d023700,Zm00001d023700,Expressed protein%3B  protein
3.756202489,2.39941E-05,0.005558621,Zm00001d038806,Zm00001d038806,Zm00001d038806,Chaperone protein ClpB1
3.716321588,0.0004728,0.015022299,Zm00001d032088,Zm00001d032088,Zm00001d032088,SAUR33-auxin-responsive SAUR family member
3.711657584,0.000104546,0.008255374,Zm00001d047532,Zm00001d047532,Zm00001d047532,Photosystem II repair protein PSB27-H1 chloroplastic
3.693697929,7.28626E-05,0.007681223,Zm00001d017547,Zm00001d017547,Zm00001d017547,Dehydrin COR410
3.679593354,0.001021794,0.020851599,Zm00001d017486,Zm00001d017486,Zm00001d017486,Zinc ion binding protein
3.671177864,1.20724E-06,0.003458748,Zm00001d027755,Zm00001d027755,Zm00001d027755,Nucleolar complex protein 2 homolog
3.636400819,0.000863648,0.019563594,Zm00001d032138,Zm00001d032138,Zm00001d032138,Scar-like domain-containing protein WAVE 5
3.614935428,2.02398E-05,0.005414345,Zm00001d002068,Zm00001d002068,Zm00001d002068,Probable inactive receptor kinase
3.551973999,1.58732E-05,0.004986391,Zm00001d025055,Zm00001d025055,Zm00001d025055,protein phosphatase homolog11
