Log-ratio,p-value,minFDR,Glyma Wm82.a2.v1,Gene,Measure,Description
7.18277216,0.000567473,0.008526391,Glyma.15G256000,Glyma.15G256000,Glyma.15G256000.Wm82.a2.v1,cysteine-rich and transmembrane domain-containing protein WIH1
6.517279148,0.000620699,0.009023721,Glyma.08G171400,Glyma.08G171400,Glyma.08G171400.Wm82.a2.v1,unknown
5.723472357,1.5652E-05,0.001100628,Glyma.16G178500,Glyma.16G178500,Glyma.16G178500.Wm82.a2.v1,Heavy metal transport/detoxification superfamily protein
5.495219231,3.56864E-05,0.001684929,Glyma.15G250100,Glyma.15G250100,Glyma.15G250100.Wm82.a2.v1,nine-cis-epoxycarotenoid dioxygenase 3
5.38136065,3.01873E-06,0.000542249,Glyma.16G178400,Glyma.16G178400,Glyma.16G178400.Wm82.a2.v1,Heavy metal transport/detoxification superfamily protein
5.373031735,4.16782E-07,0.000271606,Glyma.09G130500,Glyma.09G130500,Glyma.09G130500.Wm82.a2.v1,Heavy metal transport/detoxification superfamily protein
5.367101178,0.001564336,0.016344455,Glyma.09G185500,Glyma.09G185500,Glyma.09G185500.Wm82.a2.v1,dehydrin-like protein
5.28821063,9.15641E-06,0.000848003,Glyma.07G248600,Glyma.07G248600,Glyma.07G248600.Wm82.a2.v1,soybean gene regulated by cold-2
5.248833328,0.000412583,0.006950047,Glyma.06G114200,Glyma.06G114200,Glyma.06G114200.Wm82.a2.v1,Eukaryotic aspartyl protease family protein
5.204975605,0.006275764,0.041549782,Glyma.11G236500,Glyma.11G236500,Glyma.11G236500.Wm82.a2.v1,uncharacterized LOC100306576
5.187029123,1.81571E-07,0.000198663,Glyma.10G169300,Glyma.10G169300,Glyma.10G169300.Wm82.a2.v1,putative F-box protein PP2-B12
5.075650275,0.003123781,0.025955406,Glyma.06G249600,Glyma.06G249600,Glyma.06G249600.Wm82.a2.v1,uncharacterized LOC100807760
5.011590004,0.00986738,0.056794438,Glyma.18G020600,Glyma.18G020600,Glyma.18G020600.Wm82.a2.v1,uncharacterized LOC100792830
4.993512511,0.000672377,0.009535094,Glyma.08G176300,Glyma.08G176300,Glyma.08G176300.Wm82.a2.v1,nine-cis-epoxycarotenoid dioxygenase 3
4.985907875,0.00020993,0.004577936,Glyma.10G145300,Glyma.10G145300,Glyma.10G145300.Wm82.a2.v1,galactinol synthase 1
4.935565174,1.31133E-06,0.000396087,Glyma.16G178100,Glyma.16G178100,Glyma.16G178100.Wm82.a2.v1,Heavy metal transport/detoxification superfamily protein
4.8928262,1.38635E-05,0.001037341,Glyma.11G123300,Glyma.11G123300,Glyma.11G123300.Wm82.a2.v1,uncharacterized LOC112998379
4.860840321,1.6114E-07,0.000198663,Glyma.11G096600,Glyma.11G096600,Glyma.11G096600.Wm82.a2.v1,NAC domain containing protein 36
4.833331704,0.00069414,0.009748869,Glyma.04G228900,Glyma.04G228900,Glyma.04G228900.Wm82.a2.v1,uncharacterized LOC113001461
4.828266382,0.000140151,0.003622981,Glyma.02G007400,Glyma.02G007400,Glyma.02G007400.Wm82.a2.v1,Chitinase family protein
4.820852518,1.84021E-05,0.001164029,Glyma.10G230600,Glyma.10G230600,Glyma.10G230600.Wm82.a2.v1,Heavy metal transport/detoxification superfamily protein
4.809811115,0.000376501,0.006530688,Glyma.10G015000,Glyma.10G015000,Glyma.10G015000.Wm82.a2.v1,uncharacterized LOC100798105
4.77534461,0.00027841,0.005447801,Glyma.03G201100,Glyma.03G201100,Glyma.03G201100.Wm82.a2.v1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
4.741226196,0.000180385,0.004181458,Glyma.07G190100,Glyma.07G190100,Glyma.07G190100.Wm82.a2.v1,F-box family protein
4.717837334,2.27016E-05,0.001323924,Glyma.12G186200,Glyma.12G186200,Glyma.12G186200.Wm82.a2.v1,NAC domain containing protein 90
4.710638762,2.32482E-08,0.000108577,Glyma.09G131100,Glyma.09G131100,Glyma.09G131100.Wm82.a2.v1,Heavy metal transport/detoxification superfamily protein
4.701951027,0.00011628,0.003227743,Glyma.13G226600,Glyma.13G226600,Glyma.13G226600.Wm82.a2.v1,unknown
4.689311899,8.25586E-05,0.002660674,Glyma.13G266800,Glyma.13G266800,Glyma.13G266800.Wm82.a2.v1,uncharacterized LOC102670348
4.674385667,1.69923E-05,0.001123013,Glyma.18G045200,Glyma.18G045200,Glyma.18G045200.Wm82.a2.v1,oxidative stress 3
4.671379328,7.02713E-05,0.002426547,Glyma.05G150100,Glyma.05G150100,Glyma.05G150100.Wm82.a2.v1,unknown 
4.626188993,1.11974E-08,9.06917E-05,Glyma.12G022700,Glyma.12G022700,Glyma.12G022700.Wm82.a2.v1,NAC domain containing protein 36
4.60916996,1.99352E-07,0.000198663,Glyma.19G125300,Glyma.19G125300,Glyma.19G125300.Wm82.a2.v1,VQ motif-containing protein
4.59126243,0.000234562,0.004897836,Glyma.09G270900,Glyma.09G270900,Glyma.09G270900.Wm82.a2.v1,calmodulin like 42
4.545068741,1.0817E-06,0.000369937,Glyma.15G015100,Glyma.15G015100,Glyma.15G015100.Wm82.a2.v1,G-type lectin S-receptor-like serine/threonine-protein kinase CES101
4.518249512,0.000571524,0.008568885,Glyma.13G298600,Glyma.13G298600,Glyma.13G298600.Wm82.a2.v1,Integrase-type DNA-binding superfamily protein
4.472706676,3.9848E-07,0.000265862,Glyma.13G221700,Glyma.13G221700,Glyma.13G221700.Wm82.a2.v1,uncharacterized LOC100800652
4.451734543,1.05384E-06,0.000364577,Glyma.15G090500,Glyma.15G090500,Glyma.15G090500.Wm82.a2.v1,uncharacterized LOC100795398
4.434939295,0.001945438,0.018974963,Glyma.03G201300,Glyma.03G201300,Glyma.03G201300.Wm82.a2.v1,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
4.417954564,7.60715E-06,0.000788901,Glyma.19G100000,Glyma.19G100000,Glyma.19G100000.Wm82.a2.v1,GRAM domain family protein
