Log-ratio,p-value,minFDR,Nitab v4.5 Gene,Gene,Measure,Description
7.339829445,4.95142E-09,1.11816E-05,Nitab4.5_0000723g0160,Nitab4.5_0000723g0160,Nitab4.5_0000723g0160,Dehydrin
6.53726083,3.72105E-06,0.000150362,Nitab4.5_0000412g0030,Nitab4.5_0000412g0030,Nitab4.5_0000412g0030,Unknown
6.350841284,5.22178E-06,0.000182372,Nitab4.5_0001984g0020,Nitab4.5_0001984g0020,Nitab4.5_0001984g0020,Unknown
6.25360918,1.69868E-07,3.53505E-05,Nitab4.5_0000136g0200,Nitab4.5_0000136g0200,Nitab4.5_0000136g0200,Dehydrin
5.994505882,4.00549E-05,0.000608453,Nitab4.5_0004194g0100,Nitab4.5_0004194g0100,Nitab4.5_0004194g0100,Zinc finger
5.935036223,8.86418E-05,0.001020242,Nitab4.5_0000716g0020,Nitab4.5_0000716g0020,Nitab4.5_0000716g0020,CAP160
5.713878453,0.000249108,0.002077497,Nitab4.5_0000500g0210,Nitab4.5_0000500g0210,Nitab4.5_0000500g0210,Expansin
5.356735468,3.36225E-07,4.57132E-05,Nitab4.5_0000212g0010,Nitab4.5_0000212g0010,Nitab4.5_0000212g0010,Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
5.320011497,8.55138E-07,7.04725E-05,Nitab4.5_0004251g0010,Nitab4.5_0004251g0010,Nitab4.5_0004251g0010,Homeodomain-like
5.161353588,2.56115E-05,0.000460388,Nitab4.5_0001711g0010,Nitab4.5_0001711g0010,Nitab4.5_0001711g0010,Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
5.011089534,0.00077255,0.004750698,Nitab4.5_0000506g0110,Nitab4.5_0000506g0110,Nitab4.5_0000506g0110,Expansin/pollen allergen
4.816267967,3.18188E-06,0.00014022,Nitab4.5_0000714g0020,Nitab4.5_0000714g0020,Nitab4.5_0000714g0020,Protein phosphatase 2C (PP2C)-like domain
4.74320364,6.17878E-08,2.37757E-05,Nitab4.5_0000048g0080,Nitab4.5_0000048g0080,Nitab4.5_0000048g0080,DNA-binding WRKY
4.715833187,1.1857E-06,8.35974E-05,Nitab4.5_0003901g0020,Nitab4.5_0003901g0020,Nitab4.5_0003901g0020,TspO/MBR-related protein
4.644583821,0.000429724,0.003075724,Nitab4.5_0000303g0170,Nitab4.5_0000303g0170,Nitab4.5_0000303g0170,Unknown
4.624509335,2.73691E-07,4.25771E-05,Nitab4.5_0000050g0160,Nitab4.5_0000050g0160,Nitab4.5_0000050g0160,Unknown
4.606564522,1.0849E-08,1.32291E-05,Nitab4.5_0000283g0170,Nitab4.5_0000283g0170,Nitab4.5_0000283g0170,Gibberellin regulated protein
4.555535257,4.29872E-05,0.000635134,Nitab4.5_0000136g0440,Nitab4.5_0000136g0440,Nitab4.5_0000136g0440,Unknown
4.547902465,1.2855E-05,0.000306647,Nitab4.5_0004584g0010,Nitab4.5_0004584g0010,Nitab4.5_0004584g0010,SWEET sugar transporter
